Step,Status,Access Date
Country (JHU),Okay,"Apr 06, 21"
Brazil,Okay,"Apr 06, 21"
Mexico,Okay,"Apr 06, 21"
Chile,Okay,"Apr 06, 21"
Colombia,Okay,"Apr 06, 21"
Peru,Okay,"Apr 06, 21"
Guatemala,Okay,"Mar 31, 21"
Argentina,Okay,"Mar 31, 21"
Compile,Okay,"Apr 06, 21"
