level,country,salid,cases,cases_per_1M,deaths,deaths_per_10M
L2,AR,10112815,20515,226830,133,14706
L2,AR,10112816,11612,217124,92,17202
L2,AR,10112910,68450,293810,669,28716
L2,AR,10113010,39719,282324,523,37175
L2,AR,10113210,135474,228149,1632,27484
L2,AR,10113211,40404,192709,479,22846
L2,AR,10113212,13946,166186,137,16325
L2,AR,10113213,33576,235344,271,18995
L2,AR,10113214,24098,265312,175,19267
L2,AR,10113310,20956,147610,366,25780
L2,AR,10113410,33501,254432,518,39341
L2,AR,10113510,24620,197999,421,33858
L2,AR,10113511,21853,213098,335,32667
L2,AR,AR888,2633109,177360,38933,26224
